Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -16.804,    10.116,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -16.804,    10.116,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     6.266,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -16.804,    10.116,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    16.419,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -16.804,    10.116,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    36.400,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    82.284,   -19.879,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegHierarchyChange,    10.735,Success,,
5,'0001110011000111110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,    82.284,   -19.879,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegUpDown,   206.223,Success,,
6,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    82.284,   -19.879,    30.000,     1.000,     0.000,     0.000,     0.000,   215.716,   -19.121,   -36.475,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,   -20.284,   198.879,   -31.116,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   215.716,   -19.121,   -36.475,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,   -20.284,   198.879,   -31.116,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    14.988,Success,,
7,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    82.284,   -19.879,    30.000,     1.000,     0.000,     0.000,     0.000,   215.716,   -19.121,   -36.475,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,   -20.284,   198.879,   -31.116,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   215.716,   -19.121,   -36.475,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,   -20.284,   198.879,   -31.116,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComMove,    16.832,Success,,
8,'0010010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,   109.264,    10.539,    30.000,     1.000,     0.000,     0.000,     0.000,   188.736,   -49.539,   -36.475,  -126.067,  -160.423,   -30.000,  -212.225,   -83.142,   -20.000,   -47.264,   168.461,   -31.116,  -126.067,   159.577,   -30.000,    14.049,   143.132,   -20.000,   188.736,   -49.539,   -36.475,  -126.067,  -160.423,   -30.000,  -113.137,  -113.137,   -30.000,   -47.264,   168.461,   -31.116,  -126.067,   159.577,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     4.647,Success,,
9,'0010011111001100010111001100,true,true,false,true,true,false,Center,Center,LowerFront,Center,Center,UpperFront,FrontLeft,   109.264,    10.539,    30.000,     1.000,     0.000,     0.000,     0.000,   188.736,   -49.539,   -36.475,  -126.067,  -160.423,   -30.000,  -212.225,   -83.142,   -20.000,   -47.264,   168.461,   -31.116,  -126.067,   159.577,   -30.000,    14.049,   143.132,   -20.000,   188.736,   -49.539,   -36.475,  -126.067,  -160.423,   -30.000,  -113.137,  -113.137,   -30.000,   -47.264,   168.461,   -31.116,  -126.067,   159.577,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   112.477,Success,,
