x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-160,false,g,true,0
139.009,-160,false,b,true,0
139.009,-20,false,l,false,0
218.58,-20,true,g,true,0
147.712,-161.116,false,g,true,0
147.96,-161.116,false,b,true,0
147.96,-20,false,l,true,0
225.804,-20,true,g,true,0
223.65,-31.116,false,g,true,0
193.235,-31.116,false,b,true,0
141.479,-31.116,false,b,true,0
141.479,-20,false,l,true,0
158.89,-20,true,g,true,0
155.813,-31.116,false,g,true,0
148.181,-31.116,false,b,true,0
148.181,-20,false,l,true,0
166.422,-20,true,g,true,0
163.488,-31.116,false,g,true,0
146.069,-31.116,false,b,true,0
146.069,-20,false,l,true,0
234.255,-20,true,g,true,0
232.179,-31.116,false,g,true,0
154.975,-31.116,false,b,true,0
154.975,-20,false,l,true,0
148.078,-20,true,g,true,0
144.772,-31.116,false,g,true,0
147.477,-31.116,false,b,true,0
147.477,-20,false,l,true,0
231.945,-20,true,g,true,0
229.848,-31.116,false,g,true,0
170.996,-31.116,false,b,true,0
170.996,-20,false,l,true,0
238.467,-20,true,g,true,0
236.428,-31.116,false,g,true,0
226.305,-31.116,false,b,true,0
226.305,-20,false,l,true,0
240.809,-20,true,g,true,0
238.79,-31.116,false,g,true,0
141.459,-31.116,false,b,true,0
141.459,-20,false,l,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
214.281,-20,false,l,true,1
221.78,-20,true,g,true,1
152.407,-161.116,false,g,true,1
157.051,-161.116,false,b,true,1
157.051,-20,false,l,true,1
217.648,-20,true,g,true,1
146.329,-161.116,false,g,true,1
148.093,-161.116,false,b,true,1
148.093,-20,false,l,true,1
219.604,-20,true,g,true,1
149.223,-161.116,false,g,true,1
153.783,-161.116,false,b,true,1
153.783,-20,false,l,true,1
215.069,-20,true,g,true,1
142.464,-161.116,false,g,true,1
144.015,-161.116,false,b,true,1
147.378,-161.116,false,b,true,1
160.054,-161.116,false,b,true,1
160.054,-20,false,l,true,1
156.759,-20,true,g,true,1
153.639,-31.116,false,g,true,1
177.518,-31.116,false,b,true,1
176.908,-31.116,false,b,true,1
161.315,-31.116,false,b,true,1
161.315,-20,false,l,true,1
173.465,-20,true,g,true,1
170.652,-31.116,false,g,true,1
181.464,-31.116,false,b,true,1
181.464,-20,false,l,true,1
157.933,-20,true,g,true,1
154.837,-31.116,false,g,true,1
147.462,-31.116,false,b,true,1
156.276,-31.116,false,b,true,1
156.276,-20,false,l,true,1
152.023,-20,true,g,true,1
148.804,-31.116,false,g,true,1
142.12,-31.116,false,b,true,1
140.922,-31.116,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
160.304,-20,true,g,true,2
157.255,-31.116,false,g,true,2
157.255,-161.116,false,g,true,2
150.98,-161.116,false,b,true,2
150.98,-20,false,l,true,2
220.285,-20,true,g,true,2
150.224,-161.116,false,g,true,2
153.061,-161.116,false,b,true,2
153.061,-20,false,l,true,2
225.203,-20,true,g,true,2
157.347,-161.116,false,g,true,2
144.696,-161.116,false,b,true,2
144.696,-20,false,l,true,2
223.22,-20,true,g,true,2
154.495,-161.116,false,g,true,2
160.819,-161.116,false,b,true,2
160.819,-20,false,l,true,2
220.055,-20,true,g,true,2
149.886,-161.116,false,g,true,2
158.41,-161.116,false,b,true,2
158.41,-20,false,l,true,2
225.132,-20,true,g,true,2
157.246,-161.116,false,g,true,2
135.039,-161.116,false,b,true,2
135.039,-20,false,l,false,2
242.96,-20,true,g,true,2
240.959,-31.116,false,g,true,2
239.775,-31.116,false,b,true,2
223.882,-31.116,false,b,true,2
241.816,-31.116,false,b,true,2
241.816,-20,false,l,true,2
244.224,-20,true,g,true,2
242.234,-31.116,false,g,true,2
185.315,-31.116,false,b,true,2
219.49,-31.116,false,b,true,2
219.49,-20,false,l,true,2
154.169,-20,true,g,true,2
150.997,-31.116,false,g,true,2
160.935,-31.116,false,b,true,2
160.935,-20,false,l,true,2
147.501,-20,true,g,true,2
144.182,-31.116,false,g,true,2
141.675,-31.116,false,b,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
221.475,-20,true,g,true,3
151.964,-161.116,false,g,true,3
157.922,-161.116,false,b,true,3
157.922,-20,false,l,true,3
216.759,-20,true,g,true,3
145.004,-161.116,false,g,true,3
156.832,-161.116,false,b,true,3
156.832,-20,false,l,true,3
214.764,-20,true,g,true,3
142.005,-161.116,false,g,true,3
135.235,-161.116,false,b,true,3
135.235,-20,false,l,false,3
217.262,-20,true,g,true,3
145.755,-161.116,false,g,true,3
158.553,-161.116,false,b,true,3
158.553,-20,false,l,true,3
222.147,-20,true,g,true,3
152.941,-161.116,false,g,true,3
157.442,-161.116,false,b,true,3
157.442,-20,false,l,true,3
223.737,-20,true,g,true,3
155.242,-161.116,false,g,true,3
157.502,-161.116,false,b,true,3
157.502,-20,false,l,true,3
178.722,-20,true,g,true,3
175.993,-31.116,false,g,true,3
189.17,-31.116,false,b,true,3
231.664,-31.116,false,b,true,3
242.972,-31.116,false,b,true,3
242.972,-20,false,l,true,3
184.31,-20,true,g,true,3
181.664,-31.116,false,g,true,3
236.207,-31.116,false,b,true,3
236.207,-20,false,l,true,3
153.923,-20,true,g,true,3
150.745,-31.116,false,g,true,3
181.645,-31.116,false,b,true,3
181.645,-20,false,l,true,3
160,-30,false,f,true,4
163.462,-30,false,b,true,4
