x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
211.639,-20,true,g,true,0
209.339,-31.116,false,g,true,0
191.444,-31.116,false,b,true,0
149.884,-31.116,false,b,true,0
142.725,-31.116,false,b,true,0
148.78,-31.116,false,b,true,0
148.78,-20,false,l,true,0
227.066,-20,true,g,true,0
160.001,-161.116,false,g,true,0
141.394,-161.116,false,b,true,0
141.394,-20,false,l,true,0
227.657,-20,true,g,true,0
160.839,-161.116,false,g,true,0
141.552,-161.116,false,b,true,0
141.552,-20,false,l,true,0
222.814,-20,true,g,true,0
153.908,-161.116,false,g,true,0
157.325,-161.116,false,b,true,0
157.325,-20,false,l,true,0
227.635,-20,true,g,true,0
160.809,-161.116,false,g,true,0
152.17,-161.116,false,b,true,0
152.17,-20,false,l,true,0
226.85,-20,true,g,true,0
159.696,-161.116,false,g,true,0
154.746,-161.116,false,b,true,0
154.746,-20,false,l,true,0
217.542,-20,true,g,true,0
146.172,-161.116,false,g,true,0
146.172,-31.116,false,l,true,0
146.172,-20,false,l,true,0
231.506,-20,true,g,true,0
229.405,-31.116,false,g,true,0
195.36,-31.116,false,b,true,0
195.36,-20,false,l,true,0
238.419,-20,true,g,true,0
236.379,-31.116,false,g,true,0
152.315,-31.116,false,b,true,0
152.315,-20,false,l,true,0
168.829,-20,true,g,true,0
165.937,-31.116,false,g,true,0
149.328,-31.116,false,b,true,0
149.328,-20,false,l,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
199.599,-30,false,b,true,1
199.599,-20,false,l,true,1
145.813,-20,true,g,true,1
142.454,-31.116,false,g,true,1
164.126,-31.116,false,b,true,1
157.539,-31.116,false,b,true,1
146.699,-31.116,false,b,true,1
166.93,-31.116,false,b,true,1
166.93,-20,false,l,true,1
177.673,-20,true,g,true,1
174.927,-31.116,false,g,true,1
141.266,-31.116,false,b,true,1
197.526,-31.116,false,b,true,1
188.433,-31.116,false,b,true,1
203.529,-31.116,false,b,true,1
203.529,-20,false,l,true,1
222.783,-20,true,g,true,1
153.863,-161.116,false,g,true,1
156.03,-161.116,false,b,true,1
157.856,-161.116,false,b,true,1
159.309,-161.116,false,b,true,1
156.377,-161.116,false,b,true,1
156.377,-31.116,false,l,true,1
156.377,-20,false,l,true,1
167.707,-20,true,g,true,1
164.795,-31.116,false,g,true,1
155.99,-31.116,false,b,true,1
229.077,-31.116,false,b,true,1
229.077,-20,false,l,true,1
153.84,-20,true,g,true,1
150.66,-31.116,false,g,true,1
173.582,-31.116,false,b,true,1
210.893,-31.116,false,b,true,1
210.893,-20,false,l,true,1
168.531,-20,true,g,true,1
165.634,-31.116,false,g,true,1
170.073,-31.116,false,b,true,1
160,-30,false,f,true,2
