Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    21.321,     5.277,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    21.321,     5.277,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    16.305,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    21.321,     5.277,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   910.572,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    21.321,     5.277,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,   122.615,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,   120.409,    35.272,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   390.178,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.409,    35.272,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   694.968,Success,,
6,'0001111111000100011111000100,false,true,false,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.409,    35.272,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   237.591,    23.728,   -31.116,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   237.591,    23.728,   -31.116,ComUpDown,   662.868,Success,,
7,'0001111111000100011111000100,false,true,false,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.409,    35.272,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   237.591,    23.728,   -31.116,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   237.591,    23.728,   -31.116,ComMove,   306.877,Success,,
8,'0110110011000100010011000100,false,true,false,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,   142.686,    14.036,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -121.365,  -168.759,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,  -121.365,   151.241,   -30.000,   215.314,    44.964,   -31.116,   113.137,  -113.137,   -30.000,  -121.365,  -168.759,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,  -121.365,   151.241,   -30.000,   215.314,    44.964,   -31.116,LegHierarchyChange,   678.953,Success,,
9,'0110110011000101010011000111,false,true,false,false,true,true,UpperFront,Center,Center,LowerFront,Center,Center,FrontRight,   142.686,    14.036,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -121.365,  -168.759,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,  -121.365,   151.241,   -30.000,   215.314,    44.964,   -31.116,   113.137,  -113.137,   -30.000,  -121.365,  -168.759,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,  -121.365,   151.241,   -30.000,   215.314,    44.964,   -31.116,LegUpDown,  1872.891,Success,,
