x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
231.787,-20,true,g,true,0
229.689,-31.116,false,g,true,0
210.222,-31.116,false,b,true,0
201.519,-31.116,false,b,true,0
132.421,-31.116,false,b,true,0
132.421,-20,false,l,false,0
167.859,-20,true,g,true,0
164.95,-31.116,false,g,true,0
131.183,-31.116,false,b,true,0
131.183,-20,false,l,false,0
232.585,-20,true,g,true,0
230.494,-31.116,false,g,true,0
143.936,-31.116,false,b,true,0
143.936,-20,false,l,true,0
235.023,-20,true,g,true,0
232.954,-31.116,false,g,true,0
163.783,-31.116,false,b,true,0
163.783,-20,false,l,true,0
236.378,-20,true,g,true,0
234.321,-31.116,false,g,true,0
133.959,-31.116,false,b,true,0
133.959,-20,false,l,false,0
239.999,-20,true,g,true,0
237.974,-31.116,false,g,true,0
140.685,-31.116,false,b,true,0
140.685,-20,false,l,true,0
236.211,-20,true,g,true,0
234.153,-31.116,false,g,true,0
137.458,-31.116,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
201.067,-30,false,b,true,1
201.067,-20,false,l,true,1
150.811,-20,true,g,true,1
147.566,-31.116,false,g,true,1
147.651,-31.116,false,b,true,1
147.112,-31.116,false,b,true,1
156.403,-31.116,false,b,true,1
156.403,-20,false,l,true,1
187.56,-20,true,g,true,1
184.961,-31.116,false,g,true,1
150.732,-31.116,false,b,true,1
154.994,-31.116,false,b,true,1
241.877,-31.116,false,b,true,1
241.877,-20,false,l,true,1
165.994,-20,true,g,true,1
163.052,-31.116,false,g,true,1
232.61,-31.116,false,b,true,1
232.61,-20,false,l,true,1
155.524,-20,true,g,true,1
152.38,-31.116,false,g,true,1
239.599,-31.116,false,b,true,1
239.599,-20,false,l,true,1
192.306,-20,true,g,true,1
189.772,-31.116,false,g,true,1
223.074,-31.116,false,b,true,1
160,-30,false,f,true,2
227.93,-30,false,b,true,2
227.93,-20,false,l,true,2
169.818,-20,true,g,true,2
166.943,-31.116,false,g,true,2
194.213,-31.116,false,b,true,2
194.213,-20,false,l,true,2
146.16,-20,true,g,true,2
142.81,-31.116,false,g,true,2
179.735,-31.116,false,b,true,2
179.735,-20,false,l,true,2
151.827,-20,true,g,true,2
148.604,-31.116,false,g,true,2
168.954,-31.116,false,b,true,2
168.954,-20,false,l,true,2
163.521,-20,true,g,true,2
160.533,-31.116,false,g,true,2
228.463,-31.116,false,b,true,2
228.463,-20,false,l,true,2
176.74,-20,true,g,true,2
173.979,-31.116,false,g,true,2
190.464,-31.116,false,b,true,2
190.464,-20,false,l,true,2
185.536,-20,true,g,true,2
182.908,-31.116,false,g,true,2
166.192,-31.116,false,b,true,2
166.192,-20,false,l,true,2
190.032,-20,true,g,true,2
