Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegUpDown,    30.161,Success,,
2,'1000110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,   -20.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,ComUpDown,   750.897,Success,,
3,'1000110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   117.622,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -117.622,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,  -117.622,    -0.000,   160.000,   -20.000,   113.137,   113.137,  -117.622,   113.137,  -113.137,  -117.622,    -0.000,  -160.000,  -117.622,  -113.137,  -113.137,  -117.622,  -113.137,   113.137,  -117.622,    -0.000,   160.000,  -117.622,   113.137,   113.137,  -117.622,ComMove,   360.701,Success,,
4,'1000110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterBack,    21.213,   -21.213,   117.622,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -21.213,  -138.787,  -117.622,  -113.137,  -113.137,   -20.000,  -134.350,   134.350,  -117.622,    -0.000,   160.000,   -20.000,    91.924,   134.350,  -117.622,   113.137,  -113.137,  -117.622,   -21.213,  -138.787,  -117.622,  -113.137,  -113.137,  -117.622,  -134.350,   134.350,  -117.622,    -0.000,   160.000,  -117.622,    91.924,   134.350,  -117.622,LegHierarchyChange,   350.247,Success,,
5,'1000110001001100011011000110,false,true,false,true,false,true,Front,Center,Front,Center,Center,Center,CenterBack,    21.213,   -21.213,   117.622,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -21.213,  -138.787,  -117.622,  -113.137,  -113.137,   -20.000,  -134.350,   134.350,  -117.622,    -0.000,   160.000,   -20.000,    91.924,   134.350,  -117.622,   113.137,  -113.137,  -117.622,   -21.213,  -138.787,  -117.622,  -113.137,  -113.137,  -117.622,  -134.350,   134.350,  -117.622,    -0.000,   160.000,  -117.622,    91.924,   134.350,  -117.622,LegUpDown,  2330.746,Success,,
6,'1000010011000100111001001110,true,false,true,false,true,false,Front,Center,Front,Center,Center,Center,CenterBack,    21.213,   -21.213,   117.622,     1.000,     0.000,     0.000,     0.000,   196.787,   -17.787,  -118.738,    -0.000,  -160.000,   -20.000,   -19.213,  -177.787,  -118.738,  -113.137,   113.137,   -20.000,    -1.213,   157.813,  -118.738,   113.137,   113.137,   -20.000,   196.787,   -17.787,  -118.738,    -0.000,  -160.000,  -117.622,   -19.213,  -177.787,  -118.738,  -113.137,   113.137,  -117.622,    -1.213,   157.813,  -118.738,   113.137,   113.137,  -117.622,ComUpDown,   516.751,Success,,
7,'1000010011000100111001001110,true,false,true,false,true,false,Front,Center,Front,Center,Center,Center,CenterBack,    21.213,   -21.213,    93.094,     1.000,     0.000,     0.000,     0.000,   196.787,   -17.787,   -94.210,    -0.000,  -160.000,   -20.000,   -19.213,  -177.787,   -94.210,  -113.137,   113.137,   -20.000,    -1.213,   157.813,   -94.210,   113.137,   113.137,   -20.000,   196.787,   -17.787,   -94.210,    -0.000,  -160.000,   -93.094,   -19.213,  -177.787,   -94.210,  -113.137,   113.137,   -93.094,    -1.213,   157.813,   -94.210,   113.137,   113.137,   -93.094,ComMove,   174.594,Success,,
8,'1000010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    71.213,   -21.213,    93.094,     1.000,     0.000,     0.000,     0.000,   146.787,   -17.787,   -94.210,    -0.000,  -160.000,   -20.000,   -69.213,  -177.787,   -94.210,  -113.137,   113.137,   -20.000,   -51.213,   157.813,   -94.210,   113.137,   113.137,   -20.000,   146.787,   -17.787,   -94.210,    -0.000,  -160.000,   -93.094,   -69.213,  -177.787,   -94.210,  -113.137,   113.137,   -93.094,   -51.213,   157.813,   -94.210,   113.137,   113.137,   -93.094,LegHierarchyChange,    98.715,Success,,
9,'1000011011000110110001101100,true,false,true,false,true,false,Center,Front,Center,Front,Center,Front,CenterBack,    71.213,   -21.213,    93.094,     1.000,     0.000,     0.000,     0.000,   146.787,   -17.787,   -94.210,    -0.000,  -160.000,   -20.000,   -69.213,  -177.787,   -94.210,  -113.137,   113.137,   -20.000,   -51.213,   157.813,   -94.210,   113.137,   113.137,   -20.000,   146.787,   -17.787,   -94.210,    -0.000,  -160.000,   -93.094,   -69.213,  -177.787,   -94.210,  -113.137,   113.137,   -93.094,   -51.213,   157.813,   -94.210,   113.137,   113.137,   -93.094,LegUpDown,  1432.794,Success,,
10,'1000111001001110010011100100,false,true,false,true,false,true,Center,Front,Center,Front,Center,Front,CenterBack,    71.213,   -21.213,    93.094,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   108.787,  -135.387,   -94.210,  -113.137,  -113.137,   -20.000,   -29.213,   180.213,   -94.210,    -0.000,   160.000,   -20.000,   186.787,    20.213,   -94.210,   113.137,  -113.137,   -94.210,   108.787,  -135.387,   -94.210,  -113.137,  -113.137,   -94.210,   -29.213,   180.213,   -94.210,    -0.000,   160.000,   -94.210,   186.787,    20.213,   -94.210,ComUpDown,   626.000,Success,,
11,'1000111001001110010011100100,false,true,false,true,false,true,Center,Front,Center,Front,Center,Front,CenterBack,    71.213,   -21.213,   100.601,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   108.787,  -135.387,  -101.717,  -113.137,  -113.137,   -20.000,   -29.213,   180.213,  -101.717,    -0.000,   160.000,   -20.000,   186.787,    20.213,  -101.717,   113.137,  -113.137,  -101.717,   108.787,  -135.387,  -101.717,  -113.137,  -113.137,  -101.717,   -29.213,   180.213,  -101.717,    -0.000,   160.000,  -101.717,   186.787,    20.213,  -101.717,ComMove,   132.086,Success,,
12,'1000110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterBack,   111.213,   -21.213,   100.601,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    68.787,  -135.387,  -101.717,  -113.137,  -113.137,   -20.000,   -69.213,   180.213,  -101.717,    -0.000,   160.000,   -20.000,   146.787,    20.213,  -101.717,   113.137,  -113.137,  -101.717,    68.787,  -135.387,  -101.717,  -113.137,  -113.137,  -101.717,   -69.213,   180.213,  -101.717,    -0.000,   160.000,  -101.717,   146.787,    20.213,  -101.717,LegHierarchyChange,    80.340,Success,,
13,'1000110001101100010011000110,false,true,false,true,false,true,Front,Center,Center,Center,Front,Center,CenterBack,   111.213,   -21.213,   100.601,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    68.787,  -135.387,  -101.717,  -113.137,  -113.137,   -20.000,   -69.213,   180.213,  -101.717,    -0.000,   160.000,   -20.000,   146.787,    20.213,  -101.717,   113.137,  -113.137,  -101.717,    68.787,  -135.387,  -101.717,  -113.137,  -113.137,  -101.717,   -69.213,   180.213,  -101.717,    -0.000,   160.000,  -101.717,   146.787,    20.213,  -101.717,LegUpDown,  1568.580,Success,,
14,'1000010011100100110001001110,true,false,true,false,true,false,Front,Center,Center,Center,Front,Center,CenterBack,   111.213,   -21.213,   100.601,     1.000,     0.000,     0.000,     0.000,   186.787,   -17.787,  -101.717,    -0.000,  -160.000,   -20.000,  -109.213,   -97.787,  -101.717,  -113.137,   113.137,   -20.000,   108.787,   137.813,  -101.717,   113.137,   113.137,   -20.000,   186.787,   -17.787,  -101.717,    -0.000,  -160.000,  -101.717,  -109.213,   -97.787,  -101.717,  -113.137,   113.137,  -101.717,   108.787,   137.813,  -101.717,   113.137,   113.137,  -101.717,ComUpDown,   790.794,Success,,
15,'1000010011100100110001001110,true,false,true,false,true,false,Front,Center,Center,Center,Front,Center,CenterBack,   111.213,   -21.213,   100.776,     1.000,     0.000,     0.000,     0.000,   186.787,   -17.787,  -101.892,    -0.000,  -160.000,   -20.000,  -109.213,   -97.787,  -101.892,  -113.137,   113.137,   -20.000,   108.787,   137.813,  -101.892,   113.137,   113.137,   -20.000,   186.787,   -17.787,  -101.892,    -0.000,  -160.000,  -101.892,  -109.213,   -97.787,  -101.892,  -113.137,   113.137,  -101.892,   108.787,   137.813,  -101.892,   113.137,   113.137,  -101.892,ComMove,   146.463,Success,,
16,'1000010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   151.213,   -21.213,   100.776,     1.000,     0.000,     0.000,     0.000,   146.787,   -17.787,  -101.892,    -0.000,  -160.000,   -20.000,  -149.213,   -97.787,  -101.892,  -113.137,   113.137,   -20.000,    68.787,   137.813,  -101.892,   113.137,   113.137,   -20.000,   146.787,   -17.787,  -101.892,    -0.000,  -160.000,  -101.892,  -149.213,   -97.787,  -101.892,  -113.137,   113.137,  -101.892,    68.787,   137.813,  -101.892,   113.137,   113.137,  -101.892,LegHierarchyChange,   118.633,Success,,
17,'1000011011000110110001101100,true,false,true,false,true,false,Center,Front,Center,Front,Center,Front,CenterBack,   151.213,   -21.213,   100.776,     1.000,     0.000,     0.000,     0.000,   146.787,   -17.787,  -101.892,    -0.000,  -160.000,   -20.000,  -149.213,   -97.787,  -101.892,  -113.137,   113.137,   -20.000,    68.787,   137.813,  -101.892,   113.137,   113.137,   -20.000,   146.787,   -17.787,  -101.892,    -0.000,  -160.000,  -101.892,  -149.213,   -97.787,  -101.892,  -113.137,   113.137,  -101.892,    68.787,   137.813,  -101.892,   113.137,   113.137,  -101.892,LegUpDown,  2422.889,Success,,
18,'1000111001001110010011100100,false,true,false,true,false,true,Center,Front,Center,Front,Center,Front,CenterBack,   151.213,   -21.213,   100.776,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   108.787,  -135.387,  -101.892,  -113.137,  -113.137,   -20.000,   -29.213,   180.213,  -101.892,    -0.000,   160.000,   -20.000,   186.787,    20.213,  -101.892,   113.137,  -113.137,  -101.892,   108.787,  -135.387,  -101.892,  -113.137,  -113.137,  -101.892,   -29.213,   180.213,  -101.892,    -0.000,   160.000,  -101.892,   186.787,    20.213,  -101.892,ComUpDown,   762.411,Success,,
