Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     4.671,Success,,
2,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   124.007,Success,,
3,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,BodyYawRot,     2.500,Success,,
4,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -30.000,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -30.000,LegHierarchyChange,     2.407,Success,,
5,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -30.000,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -30.000,LegUpDown,     4.310,Success,,
6,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -20.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -20.000,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -113.137,  -113.137,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    60.545,Success,,
7,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -158.515,   -22.214,   -20.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   158.515,    22.214,   -20.000,    39.398,  -183.057,   -30.000,   -90.088,  -144.115,   -30.000,  -113.137,  -113.137,   -30.000,   -39.398,   183.057,   -30.000,    90.088,   144.115,   -30.000,   113.137,   113.137,   -30.000,BodyYawRot,   190.912,Success,,
8,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -24.771,   -21.596,    30.000,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -30.000,  -107.134,  -137.228,   -30.000,  -158.515,   -22.214,   -20.000,   -21.980,   193.721,   -30.000,   107.134,   137.228,   -30.000,   158.515,    22.214,   -20.000,    21.980,  -193.721,   -30.000,  -107.134,  -137.228,   -30.000,  -113.137,  -113.137,   -30.000,   -21.980,   193.721,   -30.000,   107.134,   137.228,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,    56.386,Success,,
9,'1000001111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperBack,CenterBack,   -24.771,   -21.596,    30.000,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -30.000,  -107.134,  -137.228,   -30.000,  -158.515,   -22.214,   -20.000,   -21.980,   193.721,   -30.000,   107.134,   137.228,   -30.000,   158.515,    22.214,   -20.000,    21.980,  -193.721,   -30.000,  -107.134,  -137.228,   -30.000,  -113.137,  -113.137,   -30.000,   -21.980,   193.721,   -30.000,   107.134,   137.228,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   106.111,Success,,
