x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
167.41,-20,true,g,true,0
164.493,-31.116,false,g,true,0
135.501,-31.116,false,b,true,0
158.495,-31.116,false,b,true,0
158.495,-20,false,l,true,0
176.608,-20,true,g,true,0
157.779,-79.3468,false,g,true,0
143.383,-79.3468,false,b,true,0
143.383,-20,false,l,true,0
235.75,-20,true,g,true,0
201.596,-122.219,false,g,true,0
184.031,-122.219,false,b,true,0
150.123,-122.219,false,b,true,0
150.123,-20,false,l,true,0
209.95,-20,true,g,true,0
162.501,-132.937,false,g,true,0
136.264,-132.937,false,b,true,0
136.264,-20,false,l,false,0
230.826,-20,true,g,true,0
184.811,-138.296,false,g,true,0
184.811,-128.796,false,l,true,0
184.811,-20,false,l,true,0
192.039,-20,true,g,true,0
142.459,-128.781,false,g,true,0
142.459,-116.86,false,l,true,0
142.459,-20,false,l,true,0
214.569,-20,true,g,true,0
143.268,-159.732,false,g,true,0
143.268,-20,false,l,true,0
223.278,-20,true,g,true,0
170.928,-143.655,false,g,true,0
170.928,-116.86,false,l,true,0
170.928,-20,false,l,true,0
214.577,-20,true,g,true,0
159.395,-143.655,false,g,true,0
134.581,-143.655,false,b,true,0
134.581,-20,false,l,false,0
222.781,-20,true,g,true,0
170.279,-143.655,false,g,true,0
170.279,-116.86,false,l,true,0
170.279,-20,false,l,true,0
223.834,-20,true,g,true,0
145.081,-170.45,false,g,true,0
145.081,-149.014,false,l,true,0
164.315,-149.014,false,b,true,0
164.315,-20,false,l,true,0
222.682,-20,true,g,true,0
143.298,-170.45,false,g,true,0
143.298,-149.014,false,l,true,0
143.298,-20,false,l,true,0
224.699,-20,true,g,true,0
158.037,-159.732,false,g,true,0
158.037,-143.655,false,l,true,0
151.659,-143.655,false,b,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
203.244,-30,false,b,true,1
203.244,-20,false,l,true,1
167.16,-20,true,g,true,1
164.239,-31.116,false,g,true,1
200.114,-31.116,false,b,true,1
213.798,-31.116,false,b,true,1
234.331,-31.116,false,b,true,1
234.331,-20,false,l,true,1
157.719,-20,true,g,true,1
154.62,-31.116,false,g,true,1
157.15,-31.116,false,b,true,1
201.354,-31.116,false,b,true,1
201.354,-20,false,l,true,1
170.103,-20,true,g,true,1
161.782,-52.5519,false,g,true,1
146.962,-52.5519,false,b,true,1
146.962,-20,false,l,true,1
170.476,-20,true,g,true,1
153.583,-73.9879,false,g,true,1
146.788,-73.9879,false,b,true,1
146.788,-20,false,l,true,1
202.825,-20,true,g,true,1
168.62,-112.719,false,g,true,1
168.62,-118.063,false,g,true,1
168.62,-20,false,l,true,1
225.907,-20,true,g,true,1
196.473,-111.501,false,g,true,1
142.056,-111.501,false,b,true,1
142.056,-20,false,l,true,1
181.606,-20,true,g,true,1
157.699,-90.0648,false,g,true,1
157.699,-79.3468,false,l,true,1
164.119,-79.3468,false,b,true,1
164.119,-52.5519,false,l,true,1
164.119,-20,false,l,true,1
221.071,-20,true,g,true,1
193.924,-106.142,false,g,true,1
191.079,-106.142,false,b,true,1
207.038,-106.142,false,b,true,1
207.038,-20,false,l,true,1
184.927,-20,true,g,true,1
167.039,-79.3469,false,g,true,1
151.706,-79.3469,false,b,true,1
151.706,-20,false,l,true,1
188.527,-20,true,g,true,1
162.594,-95.4238,false,g,true,1
162.594,-79.3468,false,l,true,1
149.943,-79.3468,false,b,true,1
149.943,-20,false,l,true,1
179.275,-20,true,g,true,1
160.76,-79.3468,false,g,true,1
158.111,-79.3468,false,b,true,1
158.111,-63.2699,false,l,true,1
232.711,-63.2699,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
233.255,-20,true,g,true,2
231.171,-31.116,false,g,true,2
204.967,-31.116,false,b,true,2
242.401,-31.116,false,b,true,2
242.401,-20,false,l,true,2
240.761,-20,true,g,true,2
238.741,-31.116,false,g,true,2
236.731,-31.116,false,b,true,2
236.731,-20,false,l,true,2
146.899,-20,true,g,true,2
143.566,-31.116,false,g,true,2
161.771,-31.116,false,b,true,2
161.771,-20,false,l,true,2
161.058,-20,true,g,true,2
158.024,-31.116,false,g,true,2
192.177,-31.116,false,b,true,2
229.436,-31.116,false,b,true,2
229.436,-20,false,l,true,2
170.019,-20,true,g,true,2
167.148,-31.116,false,g,true,2
169.141,-31.116,false,b,true,2
231.679,-31.116,false,b,true,2
231.679,-21.6164,false,l,true,2
231.679,-20,false,l,true,2
229.488,-20,true,g,true,2
223.104,-53.7552,false,g,true,2
223.104,-41.834,false,l,true,2
189.348,-41.834,false,b,true,2
189.348,-31.116,false,l,true,2
220.147,-31.116,false,b,true,2
220.147,-20,false,l,true,2
234.96,-20,true,g,true,2
231.205,-41.834,false,g,true,2
231.205,-20,false,l,true,2
165.543,-20,true,g,true,2
150.647,-68.6289,false,g,true,2
150.647,-41.834,false,l,true,2
151.679,-41.834,false,b,true,2
151.679,-20.398,false,l,true,2
228.922,-20.398,false,b,true,2
228.922,-20,false,l,true,2
233.296,-20,true,g,true,2
224.552,-63.2699,false,g,true,2
224.552,-41.834,false,l,true,2
222.698,-41.834,false,b,true,2
222.698,-20,false,l,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
169.495,-20,true,g,true,3
166.615,-31.116,false,g,true,3
185.649,-31.116,false,b,true,3
