x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-160,false,g,true,0
143.613,-160,false,b,true,0
143.613,-20,false,l,true,0
224.227,-20,true,g,true,0
222.058,-31.116,false,g,true,0
209.473,-31.116,false,b,true,0
160.212,-31.116,false,b,true,0
160.212,-20,false,l,true,0
238.733,-20,true,g,true,0
236.697,-31.116,false,g,true,0
166.117,-31.116,false,b,true,0
166.117,-20,false,l,true,0
228.382,-20,true,g,true,0
226.252,-31.116,false,g,true,0
160.902,-31.116,false,b,true,0
160.902,-20,false,l,true,0
158.868,-20,true,g,true,0
155.791,-31.116,false,g,true,0
159.253,-31.116,false,b,true,0
181.313,-31.116,false,b,true,0
181.313,-20,false,l,true,0
228.182,-20,true,g,true,0
226.051,-31.116,false,g,true,0
185.499,-31.116,false,b,true,0
185.499,-20,false,l,true,0
226.051,-20,true,g,true,0
223.899,-31.116,false,g,true,0
191.378,-31.116,false,b,true,0
191.378,-20,false,l,true,0
222.113,-20,true,g,true,0
219.922,-31.116,false,g,true,0
140.451,-31.116,false,b,true,0
140.451,-20,false,l,true,0
168.457,-20,true,g,true,0
165.558,-31.116,false,g,true,0
145.749,-31.116,false,b,true,0
145.749,-20,false,l,true,0
236.429,-20,true,g,true,0
234.372,-31.116,false,g,true,0
197.496,-31.116,false,b,true,0
140.608,-31.116,false,b,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
214.281,-20,false,l,true,1
218.739,-20,true,g,true,1
147.947,-161.116,false,g,true,1
148.028,-161.116,false,b,true,1
154.805,-161.116,false,b,true,1
154.805,-20,false,l,true,1
222.441,-20,true,g,true,1
153.368,-161.116,false,g,true,1
145.639,-161.116,false,b,true,1
145.639,-20,false,l,true,1
221.952,-20,true,g,true,1
152.658,-161.116,false,g,true,1
152.101,-161.116,false,b,true,1
152.101,-20,false,l,true,1
181.789,-20,true,g,true,1
179.106,-31.116,false,g,true,1
228.995,-31.116,false,b,true,1
159.077,-31.116,false,b,true,1
213.905,-31.116,false,b,true,1
213.905,-20,false,l,true,1
160.562,-20,true,g,true,1
157.518,-31.116,false,g,true,1
151.432,-31.116,false,b,true,1
172.245,-31.116,false,b,true,1
156.827,-31.116,false,b,true,1
218.965,-31.116,false,b,true,1
218.965,-20,false,l,true,1
161.273,-20,true,g,true,1
158.243,-31.116,false,g,true,1
178.737,-31.116,false,b,true,1
181.433,-31.116,false,b,true,1
239.355,-31.116,false,b,true,1
231.869,-31.116,false,b,true,1
231.869,-20,false,l,true,1
168.621,-20,true,g,true,1
165.725,-31.116,false,g,true,1
215.546,-31.116,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
146.966,-20,true,g,true,2
143.635,-31.116,false,g,true,2
143.635,-161.116,false,g,true,2
143.635,-20,false,l,true,2
217.425,-20,true,g,true,2
145.998,-161.116,false,g,true,2
147.195,-161.116,false,b,true,2
154.486,-161.116,false,b,true,2
154.486,-20,false,l,true,2
216.833,-20,true,g,true,2
145.115,-161.116,false,g,true,2
153.414,-161.116,false,b,true,2
153.414,-20,false,l,true,2
224.035,-20,true,g,true,2
155.67,-161.116,false,g,true,2
153.843,-161.116,false,b,true,2
153.843,-20,false,l,true,2
154.322,-20,true,g,true,2
151.152,-31.116,false,g,true,2
187.453,-31.116,false,b,true,2
193.253,-31.116,false,b,true,2
222.022,-31.116,false,b,true,2
212.431,-31.116,false,b,true,2
212.431,-20,false,l,true,2
154.892,-20,true,g,true,2
151.734,-31.116,false,g,true,2
171.233,-31.116,false,b,true,2
171.233,-20,false,l,true,2
146.25,-20,true,g,true,2
142.902,-31.116,false,g,true,2
181.612,-31.116,false,b,true,2
181.612,-20,false,l,true,2
148.034,-20,true,g,true,2
144.727,-31.116,false,g,true,2
182.69,-31.116,false,b,true,2
182.69,-20,false,l,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
223.717,-20,true,g,true,3
155.212,-161.116,false,g,true,3
158.988,-161.116,false,b,true,3
158.988,-20,false,l,true,3
222.777,-20,true,g,true,3
153.855,-161.116,false,g,true,3
157.447,-161.116,false,b,true,3
157.447,-20,false,l,true,3
216.718,-20,true,g,true,3
144.942,-161.116,false,g,true,3
158.332,-161.116,false,b,true,3
158.332,-20,false,l,true,3
223.538,-20,true,g,true,3
154.954,-161.116,false,g,true,3
154.937,-161.116,false,b,true,3
154.937,-20,false,l,true,3
189.691,-20,true,g,true,3
187.122,-31.116,false,g,true,3
169.267,-31.116,false,b,true,3
163.427,-31.116,false,b,true,3
198.688,-31.116,false,b,true,3
228.882,-31.116,false,b,true,3
228.882,-20,false,l,true,3
182.243,-20,true,g,true,3
179.567,-31.116,false,g,true,3
160.78,-31.116,false,b,true,3
160.78,-20,false,l,true,3
166.207,-20,true,g,true,3
163.268,-31.116,false,g,true,3
228.53,-31.116,false,b,true,3
228.53,-20,false,l,true,3
202.718,-20,true,g,true,3
200.316,-31.116,false,g,true,3
205.759,-31.116,false,b,true,3
230.034,-31.116,false,b,true,3
230.034,-20,false,l,true,3
166.038,-20,true,g,true,3
163.096,-31.116,false,g,true,3
204.782,-31.116,false,b,true,3
160,-30,false,f,true,4
163.462,-30,false,b,true,4
163.462,-20,false,l,true,4
220.903,-20,true,g,true,4
151.128,-161.116,false,g,true,4
151.308,-161.116,false,b,true,4
151.308,-20,false,l,true,4
